#Pass ID: 20250127_112043_AQUA
#Satellite: AQUA
#Configuration: AQUA
#Start time: 2025-01-27 11:20:36

#Version: 1.5.20200625
#Station: XPeterburg
#Location: 30.318091 lon 59.932769 lat
#TLE: 1 27424U 02022A   25027.13595682  .00002183  00000+0  45736-3 0  9991
#TLE: 2 27424  98.3601 343.9109 0002120  98.2224 351.3793 14.60746235209391

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2025-01-27 11:20:36.46	135.80	66.84	-35.2	-44.1	3.3	7700805	88	1648
2025-01-27 11:20:36.66	135.68	66.94	-34.2	-64.0	3.5	7595977	47	18523
2025-01-27 11:20:36.86	135.56	67.04	-35.0	-52.7	3.5	7587890	73	4605
2025-01-27 11:20:37.06	135.44	67.14	-35.3	-46.1	3.4	7584838	87	2081
2025-01-27 11:20:37.27	135.31	67.25	-35.3	-46.0	3.4	7658691	87	2040
2025-01-27 11:20:37.47	135.19	67.34	-35.3	-46.6	3.4	7563629	87	2206
2025-01-27 11:20:37.67	135.07	67.44	-35.3	-46.7	3.5	7597503	87	2218
2025-01-27 11:20:37.87	134.94	67.54	-35.3	-46.5	3.5	7594299	87	2177
2025-01-27 11:20:38.07	134.81	67.64	-35.3	-46.3	3.4	7614746	87	2119
2025-01-27 11:20:38.27	134.69	67.74	-35.3	-46.8	3.2	7567901	87	2241
